tool,design,split,fold,variant,n_windows,n_scored,n_refused,n_refused_by_design,refused_frac,roc_auc,pr_auc,precision_at_recall_50,n_pos,n_neg,refusal
mad,pooled-cross-well,well,1,no_folder9_no_transients,501,501,0,0,0.0,0.5153,0.1372,0.2603,62,439,
regime,pooled-cross-well,well,1,all,1533,1524,9,0,0.0059,0.1576,0.4953,0.657,1000,524,
regime,pooled-cross-well,well,1,no_folder9,1442,1433,9,0,0.0062,0.164,0.5329,0.6946,994,439,
regime,pooled-cross-well,well,1,no_transients,587,578,9,0,0.0153,0.7076,0.1525,0.256,54,524,
regime,pooled-cross-well,well,1,no_folder9_no_transients,501,492,9,0,0.018,0.6564,0.1523,0.2577,53,439,
population,pooled-cross-well,well,1,all,1533,0,1533,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,1,no_folder9,1442,0,1442,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,1,no_transients,587,0,587,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,1,no_folder9_no_transients,501,0,501,0,1.0,,,,0,0,every window in this fold was refused
spc,pooled-cross-well,well,1,all,1533,1533,0,0,0.0,0.3187,0.5702,0.6749,1009,524,
spc,pooled-cross-well,well,1,no_folder9,1442,1442,0,0,0.0,0.2344,0.5924,0.6956,1003,439,
spc,pooled-cross-well,well,1,no_transients,587,587,0,0,0.0,0.8816,0.3943,0.4344,63,524,
spc,pooled-cross-well,well,1,no_folder9_no_transients,501,501,0,0,0.0,0.8865,0.4829,0.486,62,439,
mspc_t2,pooled-cross-well,well,1,all,1533,921,612,0,0.3992,0.4987,0.8164,0.8859,780,141,
mspc_t2,pooled-cross-well,well,1,no_folder9,1442,897,545,0,0.3779,0.4632,0.8246,0.8908,774,123,
mspc_t2,pooled-cross-well,well,1,no_transients,587,146,441,0,0.7513,0.2809,0.0298,0.0385,5,141,
mspc_t2,pooled-cross-well,well,1,no_folder9_no_transients,501,127,374,0,0.7465,0.2541,0.0299,0.0336,4,123,
mspc_spe,pooled-cross-well,well,1,all,1533,921,612,0,0.3992,0.56,0.8649,0.8929,780,141,
mspc_spe,pooled-cross-well,well,1,no_folder9,1442,897,545,0,0.3779,0.521,0.8672,0.893,774,123,
mspc_spe,pooled-cross-well,well,1,no_transients,587,146,441,0,0.7513,0.7461,0.4375,0.0678,5,141,
mspc_spe,pooled-cross-well,well,1,no_folder9_no_transients,501,127,374,0,0.7465,0.7419,0.5261,1.0,4,123,
iforest,pooled-cross-well,well,1,all,1533,1533,0,0,0.0,0.4763,0.6146,0.7115,1009,524,
iforest,pooled-cross-well,well,1,no_folder9,1442,1442,0,0,0.0,0.5519,0.7001,0.7839,1003,439,
iforest,pooled-cross-well,well,1,no_transients,587,587,0,0,0.0,0.5553,0.1976,0.1368,63,524,
iforest,pooled-cross-well,well,1,no_folder9_no_transients,501,501,0,0,0.0,0.6175,0.2951,0.1872,62,439,
mad,"pooled-cross-well, own-history windows",well,1,all,1162,1162,0,0,0.0,0.2723,0.7013,0.823,950,212,
mad,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,1097,0,0,0.0,0.3432,0.7903,0.8662,946,151,
mad,"pooled-cross-well, own-history windows",well,1,no_transients,222,222,0,0,0.0,0.3995,0.0403,0.069,10,212,
mad,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,161,0,0,0.0,0.5219,0.0677,0.1124,10,151,
mad,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,1162,0,0,0.0,0.2723,0.7013,0.823,950,212,
regime,"pooled-cross-well, own-history windows",well,1,all,1162,1153,9,0,0.0077,0.2007,0.6918,0.8161,941,212,
regime,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,1088,9,0,0.0082,0.2589,0.7681,0.8612,937,151,
regime,"pooled-cross-well, own-history windows",well,1,no_transients,222,213,9,0,0.0405,0.8585,0.0323,0.0323,1,212,
regime,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,152,9,0,0.0559,0.8079,0.0333,0.0333,1,151,
regime,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,1153,9,0,0.0077,0.2007,0.6918,0.8161,941,212,
population,"pooled-cross-well, own-history windows",well,1,all,1162,0,1162,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,0,1097,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,1,no_transients,222,0,222,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,0,161,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,0,1162,0,1.0,,,,0,0,every window in this fold was refused
spc,"pooled-cross-well, own-history windows",well,1,all,1162,1162,0,0,0.0,0.4879,0.7899,0.8389,950,212,
spc,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,1097,0,0,0.0,0.3664,0.816,0.8624,946,151,
spc,"pooled-cross-well, own-history windows",well,1,no_transients,222,222,0,0,0.0,0.887,0.209,0.3333,10,212,
spc,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,161,0,0,0.0,0.8944,0.3503,0.5455,10,151,
spc,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,1162,0,0,0.0,0.4879,0.7899,0.8389,950,212,
mspc_t2,"pooled-cross-well, own-history windows",well,1,all,1162,879,283,0,0.2435,0.4801,0.8501,0.9079,774,105,
mspc_t2,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,866,231,0,0.2106,0.4412,0.8484,0.9088,770,96,
mspc_t2,"pooled-cross-well, own-history windows",well,1,no_transients,222,107,115,0,0.518,0.4619,0.0343,0.0476,2,105,
mspc_t2,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,98,63,0,0.3913,0.4271,0.0358,0.05,2,96,
mspc_t2,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,879,283,0,0.2435,0.4801,0.8501,0.9079,774,105,
mspc_spe,"pooled-cross-well, own-history windows",well,1,all,1162,879,283,0,0.2435,0.5229,0.8838,0.9127,774,105,
mspc_spe,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,866,231,0,0.2106,0.4962,0.8854,0.9131,770,96,
mspc_spe,"pooled-cross-well, own-history windows",well,1,no_transients,222,107,115,0,0.518,1.0,1.0,1.0,2,105,
mspc_spe,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,98,63,0,0.3913,1.0,1.0,1.0,2,96,
mspc_spe,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,879,283,0,0.2435,0.5229,0.8838,0.9127,774,105,
iforest,"pooled-cross-well, own-history windows",well,1,all,1162,1162,0,0,0.0,0.4366,0.7578,0.8358,950,212,
iforest,"pooled-cross-well, own-history windows",well,1,no_folder9,1097,1097,0,0,0.0,0.5911,0.8695,0.9149,946,151,
iforest,"pooled-cross-well, own-history windows",well,1,no_transients,222,222,0,0,0.0,0.9382,0.5769,0.625,10,212,
iforest,"pooled-cross-well, own-history windows",well,1,no_folder9_no_transients,161,161,0,0,0.0,0.9801,0.9081,1.0,10,151,
iforest,"pooled-cross-well, own-history windows",well,1,no_positive_baseline,1162,1162,0,0,0.0,0.4366,0.7578,0.8358,950,212,
mad,pooled-cross-well,well,2,all,1603,1603,0,0,0.0,0.7597,0.8045,0.8613,1113,490,
mad,pooled-cross-well,well,2,no_folder9,1511,1511,0,0,0.0,0.7374,0.8119,0.8679,1094,417,
mad,pooled-cross-well,well,2,no_transients,729,729,0,0,0.0,0.6183,0.3495,0.5308,239,490,
mad,pooled-cross-well,well,2,no_folder9_no_transients,655,655,0,0,0.0,0.5865,0.3662,0.5574,238,417,
regime,pooled-cross-well,well,2,all,1603,1540,63,0,0.0393,0.7587,0.8212,0.858,1069,471,
regime,pooled-cross-well,well,2,no_folder9,1511,1448,63,0,0.0417,0.7452,0.8331,0.866,1050,398,
regime,pooled-cross-well,well,2,no_transients,729,700,29,0,0.0398,0.6573,0.3731,0.5466,229,471,
regime,pooled-cross-well,well,2,no_folder9_no_transients,655,626,29,0,0.0443,0.6272,0.3906,0.5729,228,398,
population,pooled-cross-well,well,2,all,1603,0,1603,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,2,no_folder9,1511,0,1511,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,2,no_transients,729,0,729,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,2,no_folder9_no_transients,655,0,655,0,1.0,,,,0,0,every window in this fold was refused
spc,pooled-cross-well,well,2,all,1603,1603,0,0,0.0,0.7975,0.8694,0.863,1113,490,
spc,pooled-cross-well,well,2,no_folder9,1511,1511,0,0,0.0,0.7952,0.8898,0.8777,1094,417,
spc,pooled-cross-well,well,2,no_transients,729,729,0,0,0.0,0.7348,0.6413,0.75,239,490,
